method,url,caller_file,caller_line,enclosing_function,response_type,query_key,used_by_pages,wave,module,suggested_controller
POST,/v1/documents/templates/{}/generate,/cbs-frontend/src/features/operations/api/documentApi.ts,146,generateFromTemplate,{ downloadUrl: string; documentId: string },,/cbs-frontend/src/features/operations/pages/DocumentManagementPage.tsx,4,documents,DocumentsController
POST,/v1/documents/retention-check,/cbs-frontend/src/features/operations/api/documentApi.ts,161,runRetentionCheck,{ expiredCount: number; archivedCount: number; message: string },,/cbs-frontend/src/features/operations/pages/DocumentManagementPage.tsx,4,documents,DocumentsController
GET,/v1/branches,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,121,branchOpsApi,Branch[],,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
GET,/v1/branches/{}/queue/live,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,129,branchOpsApi,LiveQueue,,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
GET,/v1/branches/{}/queue/history,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,133,branchOpsApi,QueueTicket[],,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
POST,/v1/branches/{}/queue/issue,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,137,branchOpsApi,QueueTicket,,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
POST,/v1/branches/{}/queue/call-next,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,141,branchOpsApi,QueueTicket,,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
POST,/v1/branches/{}/queue/{}/complete,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,145,branchOpsApi,void,,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
POST,/v1/branches/{}/queue/{}/no-show,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,149,branchOpsApi,void,,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
POST,/v1/branches/{}/schedule,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,157,branchOpsApi,void,,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
POST,/v1/branches/{}/schedule/swap,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,161,branchOpsApi,void,,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
POST,/v1/branches/{}/facilities,/cbs-frontend/src/features/operations/api/branchOpsApi.ts,169,branchOpsApi,Facility,,/cbs-frontend/src/features/operations/pages/BranchOpsPage.tsx,4,branches,BranchesController
GET,/v1/approvals/my-queue,/cbs-frontend/src/features/operations/api/approvalApi.ts,77,getMyQueue,ApprovalRequest[],,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
GET,/v1/approvals/team-queue,/cbs-frontend/src/features/operations/api/approvalApi.ts,81,getTeamQueue,ApprovalRequest[],,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
GET,/v1/approvals/delegated-queue,/cbs-frontend/src/features/operations/api/approvalApi.ts,85,getDelegatedQueue,ApprovalRequest[],,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
GET,/v1/approvals/history,/cbs-frontend/src/features/operations/api/approvalApi.ts,94,getApprovalHistory,ApprovalRequest[],,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
GET,/v1/approvals/{},/cbs-frontend/src/features/operations/api/approvalApi.ts,98,getApprovalById,ApprovalRequest,,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
POST,/v1/approvals/{}/approve,/cbs-frontend/src/features/operations/api/approvalApi.ts,102,approveRequest,ApprovalRequest,,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
POST,/v1/approvals/{}/reject,/cbs-frontend/src/features/operations/api/approvalApi.ts,106,rejectRequest,ApprovalRequest,,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
POST,/v1/approvals/{}/return,/cbs-frontend/src/features/operations/api/approvalApi.ts,110,returnForAmendment,ApprovalRequest,,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
POST,/v1/approvals/{}/delegate,/cbs-frontend/src/features/operations/api/approvalApi.ts,114,delegateRequest,ApprovalRequest,,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
POST,/v1/approvals/bulk-approve,/cbs-frontend/src/features/operations/api/approvalApi.ts,118,bulkApprove,ApprovalRequest[],,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
GET,/v1/approvals/delegations,/cbs-frontend/src/features/operations/api/approvalApi.ts,122,getDelegations,Delegation[],,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
POST,/v1/approvals/delegations,/cbs-frontend/src/features/operations/api/approvalApi.ts,126,createDelegation,Delegation,,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
POST,/v1/approvals/delegations/{}/cancel,/cbs-frontend/src/features/operations/api/approvalApi.ts,130,cancelDelegation,void,,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
GET,/v1/approvals/escalation-rules,/cbs-frontend/src/features/operations/api/approvalApi.ts,134,getEscalationRules,EscalationRule[],,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
POST,/v1/approvals/escalation-rules/{},/cbs-frontend/src/features/operations/api/approvalApi.ts,138,updateEscalationRule,EscalationRule,,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
GET,/v1/approvals/stats,/cbs-frontend/src/features/operations/api/approvalApi.ts,148,getStats,"{
    myPending: number;
    teamPending: number;
    slaBreached: number;
    approvedToday: number;
    rejectedToday: number;
  }",,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,4,approvals,ApprovalsController
GET,/v1/gl/accounts,/cbs-frontend/src/features/operations/api/glApi.ts,112,glApi,GlAccount[],,/cbs-frontend/src/features/operations/pages/GeneralLedgerPage.tsx,4,gl,GlController
GET,/v1/gl/balances,/cbs-frontend/src/features/operations/api/glApi.ts,120,glApi,GlBalance[],,/cbs-frontend/src/features/operations/pages/GeneralLedgerPage.tsx,4,gl,GlController
POST,/v1/gl/journals,/cbs-frontend/src/features/operations/api/glApi.ts,132,glApi,JournalEntry,,/cbs-frontend/src/features/operations/pages/GeneralLedgerPage.tsx,4,gl,GlController
GET,/v1/gl/trial-balance,/cbs-frontend/src/features/operations/api/glApi.ts,136,glApi,TrialBalanceRow[],,/cbs-frontend/src/features/operations/pages/GeneralLedgerPage.tsx,4,gl,GlController
GET,/v1/gl/reconciliation,/cbs-frontend/src/features/operations/api/glApi.ts,140,glApi,SubLedgerRow[],,/cbs-frontend/src/features/operations/pages/GeneralLedgerPage.tsx,4,gl,GlController
GET,/v1/approvals/approvers,/cbs-frontend/src/features/operations/pages/ApprovalWorkbenchPage.tsx,100,DelegateRequestDialog,{ name: string; role: string }[],"['approvers-list'],",,4,approvals,ApprovalsController
GET,/v1/trade-finance/lc,/cbs-frontend/src/features/tradefinance/api/tradeFinanceApi.ts,26,tradeFinanceApi,LetterOfCredit[],,/cbs-frontend/src/features/tradefinance/pages/TradeFinancePage.tsx,2,trade-finance,TradeFinanceController
GET,/v1/trade-finance/lc/{},/cbs-frontend/src/features/tradefinance/api/tradeFinanceApi.ts,27,tradeFinanceApi,LetterOfCredit,,/cbs-frontend/src/features/tradefinance/pages/TradeFinancePage.tsx,2,trade-finance,TradeFinanceController
POST,/v1/trade-finance/lc,/cbs-frontend/src/features/tradefinance/api/tradeFinanceApi.ts,28,tradeFinanceApi,LetterOfCredit,,/cbs-frontend/src/features/tradefinance/pages/TradeFinancePage.tsx,2,trade-finance,TradeFinanceController
GET,/v1/trade-finance/guarantees,/cbs-frontend/src/features/tradefinance/api/tradeFinanceApi.ts,30,tradeFinanceApi,BankGuarantee[],,/cbs-frontend/src/features/tradefinance/pages/TradeFinancePage.tsx,2,trade-finance,TradeFinanceController
GET,/v1/trade-finance/guarantees/{},/cbs-frontend/src/features/tradefinance/api/tradeFinanceApi.ts,31,tradeFinanceApi,BankGuarantee,,/cbs-frontend/src/features/tradefinance/pages/TradeFinancePage.tsx,2,trade-finance,TradeFinanceController
GET,/v1/trade-finance/collections,/cbs-frontend/src/features/tradefinance/api/tradeFinanceApi.ts,33,tradeFinanceApi,DocumentaryCollection[],,/cbs-frontend/src/features/tradefinance/pages/TradeFinancePage.tsx,2,trade-finance,TradeFinanceController
GET,/v1/trade/lc/customer/{},/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,137,tradeFinanceExtApi,LetterOfCredit[],,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/lc,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,147,tradeFinanceExtApi,LetterOfCredit,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
GET,/v1/trade/lc/{},/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,150,tradeFinanceExtApi,LetterOfCredit,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/lc/{}/settle,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,156,tradeFinanceExtApi,LetterOfCredit,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
GET,/v1/trade/guarantees/customer/{},/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,160,tradeFinanceExtApi,BankGuarantee[],,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/guarantees,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,169,tradeFinanceExtApi,BankGuarantee,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
GET,/v1/trade/guarantees/{},/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,172,tradeFinanceExtApi,BankGuarantee,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/guarantees/{}/claim,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,178,tradeFinanceExtApi,BankGuarantee,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/collections,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,188,tradeFinanceExtApi,DocumentaryCollection,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/collections/{}/settle,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,193,tradeFinanceExtApi,DocumentaryCollection,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/scf/programmes,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,201,tradeFinanceExtApi,ScfProgramme,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/scf/invoices,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,210,tradeFinanceExtApi,FactoredInvoice,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/documents,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,216,tradeFinanceExtApi,TradeDocument,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
POST,/v1/trade/documents/{}/verify,/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,221,tradeFinanceExtApi,TradeDocument,,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
GET,/v1/trade/documents/lc/{},/cbs-frontend/src/features/tradefinance/api/tradeFinanceExtApi.ts,224,tradeFinanceExtApi,TradeDocument[],,/cbs-frontend/src/features/tradefinance/pages/TradeFinanceHubPage.tsx,2,trade,TradeController
GET,/v1/deposits/fixed,/cbs-frontend/src/features/deposits/api/fixedDepositApi.ts,83,fixedDepositApi,FixedDeposit[],,/cbs-frontend/src/features/deposits/pages/FixedDepositDetailPage.tsx; /cbs-frontend/src/features/deposits/pages/FixedDepositListPage.tsx; /cbs-frontend/src/features/deposits/pages/NewFixedDepositPage.tsx,4,deposits,DepositsController
GET,/v1/deposits/fixed/{},/cbs-frontend/src/features/deposits/api/fixedDepositApi.ts,86,fixedDepositApi,FixedDeposit,,/cbs-frontend/src/features/deposits/pages/FixedDepositDetailPage.tsx; /cbs-frontend/src/features/deposits/pages/FixedDepositListPage.tsx; /cbs-frontend/src/features/deposits/pages/NewFixedDepositPage.tsx,4,deposits,DepositsController
POST,/v1/deposits/fixed,/cbs-frontend/src/features/deposits/api/fixedDepositApi.ts,89,fixedDepositApi,FixedDeposit,,/cbs-frontend/src/features/deposits/pages/FixedDepositDetailPage.tsx; /cbs-frontend/src/features/deposits/pages/FixedDepositListPage.tsx; /cbs-frontend/src/features/deposits/pages/NewFixedDepositPage.tsx,4,deposits,DepositsController
GET,/v1/deposits/fixed/rates,/cbs-frontend/src/features/deposits/api/fixedDepositApi.ts,92,fixedDepositApi,RateTable[],,/cbs-frontend/src/features/deposits/pages/FixedDepositDetailPage.tsx; /cbs-frontend/src/features/deposits/pages/FixedDepositListPage.tsx; /cbs-frontend/src/features/deposits/pages/NewFixedDepositPage.tsx,4,deposits,DepositsController
POST,/v1/deposits/fixed/calculate,/cbs-frontend/src/features/deposits/api/fixedDepositApi.ts,95,fixedDepositApi,InterestCalcResult,,/cbs-frontend/src/features/deposits/pages/FixedDepositDetailPage.tsx; /cbs-frontend/src/features/deposits/pages/FixedDepositListPage.tsx; /cbs-frontend/src/features/deposits/pages/NewFixedDepositPage.tsx,4,deposits,DepositsController
GET,/v1/deposits/fixed/{}/early-withdrawal,/cbs-frontend/src/features/deposits/api/fixedDepositApi.ts,98,fixedDepositApi,EarlyWithdrawalInfo,,/cbs-frontend/src/features/deposits/pages/FixedDepositDetailPage.tsx; /cbs-frontend/src/features/deposits/pages/FixedDepositListPage.tsx; /cbs-frontend/src/features/deposits/pages/NewFixedDepositPage.tsx,4,deposits,DepositsController
POST,/v1/deposits/fixed/{}/liquidate,/cbs-frontend/src/features/deposits/api/fixedDepositApi.ts,101,fixedDepositApi,void,,/cbs-frontend/src/features/deposits/pages/FixedDepositDetailPage.tsx; /cbs-frontend/src/features/deposits/pages/FixedDepositListPage.tsx; /cbs-frontend/src/features/deposits/pages/NewFixedDepositPage.tsx,4,deposits,DepositsController
PATCH,/v1/deposits/fixed/{}/maturity-instruction,/cbs-frontend/src/features/deposits/api/fixedDepositApi.ts,104,fixedDepositApi,FixedDeposit,,/cbs-frontend/src/features/deposits/pages/FixedDepositDetailPage.tsx; /cbs-frontend/src/features/deposits/pages/FixedDepositListPage.tsx; /cbs-frontend/src/features/deposits/pages/NewFixedDepositPage.tsx,4,deposits,DepositsController
GET,/v1/deposits/fixed/stats,/cbs-frontend/src/features/deposits/api/fixedDepositApi.ts,107,fixedDepositApi,FdStats,,/cbs-frontend/src/features/deposits/pages/FixedDepositDetailPage.tsx; /cbs-frontend/src/features/deposits/pages/FixedDepositListPage.tsx; /cbs-frontend/src/features/deposits/pages/NewFixedDepositPage.tsx,4,deposits,DepositsController
GET,/v1/customers,/cbs-frontend/src/features/dashboard/hooks/useDashboardData.ts,14,useDashboardStats,any[],"queryKeys.dashboard.stats,",/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/dashboard/pages/DashboardPage.tsx,1,customers,CustomersController
GET,/v1/payments,/cbs-frontend/src/features/dashboard/hooks/useDashboardData.ts,34,useRecentTransactions,any[],"queryKeys.dashboard.recentTransactions,",/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/dashboard/pages/DashboardPage.tsx,1,payments,PaymentsController
GET,/v1/accounts/summary,/cbs-frontend/src/features/dashboard/api/dashboardApi.ts,87,dashboardApi,AccountSummary,,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/dashboard/pages/DashboardPage.tsx; /cbs-frontend/src/features/treasury/pages/TreasuryHomePage.tsx,1,accounts,AccountsController
GET,/v1/dashboard/stats,/cbs-frontend/src/features/dashboard/api/dashboardApi.ts,88,dashboardApi,AccountSummary,,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/dashboard/pages/DashboardPage.tsx; /cbs-frontend/src/features/treasury/pages/TreasuryHomePage.tsx,4,dashboard,DashboardController
GET,/v1/dealer-desks,/cbs-frontend/src/features/dashboard/api/dashboardApi.ts,94,dashboardApi,DealerDesk[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/dashboard/pages/DashboardPage.tsx; /cbs-frontend/src/features/treasury/pages/TreasuryHomePage.tsx,4,dealer-desks,DealerDesksController
GET,/v1/approvals/pending,/cbs-frontend/src/features/dashboard/widgets/PendingApprovalsWidget.tsx,25,navigate,ApprovalItem[],"['dashboard', 'pending-approvals'],",/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/dashboard/pages/DashboardPage.tsx,4,approvals,ApprovalsController
GET,/v1/dashboard/charts/monthly-volume,/cbs-frontend/src/features/dashboard/widgets/LineChartWidget.tsx,15,LineChartWidget,LineChartDataPoint[],"queryKeys.dashboard.charts('monthly-volume'),",/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/dashboard/pages/DashboardPage.tsx,4,dashboard,DashboardController
GET,/v1/dashboard/recent-transactions,/cbs-frontend/src/features/dashboard/widgets/RecentTransactionsWidget.tsx,22,RecentTransactionsWidget,RecentTxn[],"queryKeys.dashboard.recentTransactions,",/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/dashboard/pages/DashboardPage.tsx,4,dashboard,DashboardController
GET,/v1/loans/products,/cbs-frontend/src/features/lending/api/loanApi.ts,261,loanApi,BackendLoanProductDto[],,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
GET,/v1/loans/products/islamic,/cbs-frontend/src/features/lending/api/loanApi.ts,265,loanApi,BackendLoanProductDto[],,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
POST,/v1/loans/applications,/cbs-frontend/src/features/lending/api/loanApi.ts,270,loanApi,BackendLoanApplicationResponse,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
GET,/v1/loans/applications/{},/cbs-frontend/src/features/lending/api/loanApi.ts,274,loanApi,BackendLoanApplicationResponse,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
GET,/v1/loans/applications/customer/{},/cbs-frontend/src/features/lending/api/loanApi.ts,278,loanApi,BackendLoanApplicationResponse[],,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
POST,/v1/loans/applications/{}/credit-check,/cbs-frontend/src/features/lending/api/loanApi.ts,282,loanApi,unknown,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
POST,/v1/loans/applications/{}/approve,/cbs-frontend/src/features/lending/api/loanApi.ts,285,loanApi,BackendLoanApplicationResponse,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
POST,/v1/loans/applications/{}/decline,/cbs-frontend/src/features/lending/api/loanApi.ts,291,loanApi,BackendLoanApplicationResponse,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
POST,/v1/loans/applications/{}/disburse,/cbs-frontend/src/features/lending/api/loanApi.ts,297,loanApi,BackendLoanAccountResponse,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
GET,/v1/loans/{},/cbs-frontend/src/features/lending/api/loanApi.ts,302,loanApi,BackendLoanAccountResponse,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
GET,/v1/loans/number/{},/cbs-frontend/src/features/lending/api/loanApi.ts,305,loanApi,BackendLoanAccountResponse,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
GET,/v1/loans/customer/{},/cbs-frontend/src/features/lending/api/loanApi.ts,308,loanApi,BackendLoanAccountResponse[],,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
GET,/v1/loans/{},/cbs-frontend/src/features/lending/api/loanApi.ts,313,loanApi,BackendLoanAccountResponse,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
POST,/v1/loans/{}/repayment,/cbs-frontend/src/features/lending/api/loanApi.ts,318,loanApi,BackendScheduleEntryDto,,/cbs-frontend/src/features/lending/pages/LoanApplicationPage.tsx; /cbs-frontend/src/features/lending/pages/LoanDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LoanRepaymentPage.tsx,1,loans,LoansController
GET,/v1/leases,/cbs-frontend/src/features/lending/api/leaseApi.ts,6,leaseApi,LeaseContract[],,/cbs-frontend/src/features/lending/pages/LeaseDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LeaseListPage.tsx,4,leases,LeasesController
GET,/v1/leases/{},/cbs-frontend/src/features/lending/api/leaseApi.ts,8,leaseApi,LeaseContract,,/cbs-frontend/src/features/lending/pages/LeaseDetailPage.tsx; /cbs-frontend/src/features/lending/pages/LeaseListPage.tsx,4,leases,LeasesController
GET,/v1/collections/stats,/cbs-frontend/src/features/lending/api/collectionsApi.ts,12,collectionsApi,CollectionStats,,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
GET,/v1/collections/dpd-aging,/cbs-frontend/src/features/lending/api/collectionsApi.ts,14,collectionsApi,DpdAging[],,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
GET,/v1/collections/cases,/cbs-frontend/src/features/lending/api/collectionsApi.ts,17,collectionsApi,CollectionCase[],,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
GET,/v1/collections/cases/{},/cbs-frontend/src/features/lending/api/collectionsApi.ts,19,collectionsApi,CollectionCase,,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
GET,/v1/collections/dunning-queue,/cbs-frontend/src/features/lending/api/collectionsApi.ts,22,collectionsApi,DunningQueueItem[],,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
POST,/v1/collections/dunning-queue/{}/outcome,/cbs-frontend/src/features/lending/api/collectionsApi.ts,25,collectionsApi,DunningQueueItem,,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
GET,/v1/collections/write-off-requests,/cbs-frontend/src/features/lending/api/collectionsApi.ts,28,collectionsApi,WriteOffRequest[],,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
POST,/v1/collections/write-off-requests,/cbs-frontend/src/features/lending/api/collectionsApi.ts,36,collectionsApi,WriteOffRequest,,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
GET,/v1/collections/recovery,/cbs-frontend/src/features/lending/api/collectionsApi.ts,39,collectionsApi,RecoveryRecord[],,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
POST,/v1/collections/recovery,/cbs-frontend/src/features/lending/api/collectionsApi.ts,47,collectionsApi,RecoveryRecord,,/cbs-frontend/src/features/lending/pages/CollectionsPage.tsx,4,collections,CollectionsController
GET,/v1/credit-facilities,/cbs-frontend/src/features/lending/api/facilityApi.ts,13,facilityApi,CreditFacility[],,/cbs-frontend/src/features/lending/pages/FacilityDetailPage.tsx; /cbs-frontend/src/features/lending/pages/FacilityListPage.tsx,4,credit-facilities,CreditFacilitiesController
GET,/v1/credit-facilities/{},/cbs-frontend/src/features/lending/api/facilityApi.ts,16,facilityApi,CreditFacility,,/cbs-frontend/src/features/lending/pages/FacilityDetailPage.tsx; /cbs-frontend/src/features/lending/pages/FacilityListPage.tsx,4,credit-facilities,CreditFacilitiesController
GET,/v1/credit-facilities/{}/sub-limits,/cbs-frontend/src/features/lending/api/facilityApi.ts,19,facilityApi,SubLimit[],,/cbs-frontend/src/features/lending/pages/FacilityDetailPage.tsx; /cbs-frontend/src/features/lending/pages/FacilityListPage.tsx,4,credit-facilities,CreditFacilitiesController
GET,/v1/credit-facilities/{}/drawdowns,/cbs-frontend/src/features/lending/api/facilityApi.ts,22,facilityApi,Drawdown[],,/cbs-frontend/src/features/lending/pages/FacilityDetailPage.tsx; /cbs-frontend/src/features/lending/pages/FacilityListPage.tsx,4,credit-facilities,CreditFacilitiesController
GET,/v1/credit-facilities/{}/utilization-history,/cbs-frontend/src/features/lending/api/facilityApi.ts,25,facilityApi,UtilizationPoint[],,/cbs-frontend/src/features/lending/pages/FacilityDetailPage.tsx; /cbs-frontend/src/features/lending/pages/FacilityListPage.tsx,4,credit-facilities,CreditFacilitiesController
GET,/v1/credit-facilities/{}/covenants,/cbs-frontend/src/features/lending/api/facilityApi.ts,28,facilityApi,Covenant[],,/cbs-frontend/src/features/lending/pages/FacilityDetailPage.tsx; /cbs-frontend/src/features/lending/pages/FacilityListPage.tsx,4,credit-facilities,CreditFacilitiesController
